Unit_ID,Primary_Channel,Spike_Time_s
2,5,0.1782857142857143
20,45,0.20935714285714285
0,1,0.34014285714285714
8,13,0.3414285714285714
6,7,0.3419285714285714
26,60,0.3465714285714286
1,2,0.34735714285714286
0,1,0.3519285714285714
4,5,0.3545
19,42,0.35728571428571426
17,39,0.36064285714285715
0,1,0.3618571428571429
10,20,0.3628571428571429
1,2,0.3632142857142857
11,30,0.3648571428571429
21,45,0.36692857142857144
6,7,0.37185714285714283
0,1,0.3722857142857143
15,38,0.3777857142857143
9,20,0.37892857142857145
0,1,0.3796428571428571
17,39,0.38235714285714284
6,7,0.38657142857142857
21,45,0.3885
0,1,0.3889285714285714
19,42,0.38957142857142857
8,13,0.3959285714285714
6,7,0.3965
19,42,0.40385714285714286
8,13,0.4060714285714286
6,7,0.4065714285714286
8,13,0.422
8,13,0.5764285714285714
6,7,0.577
8,13,0.5808571428571428
6,7,0.5919285714285715
6,7,0.5955
19,42,0.5971428571428572
6,7,0.6185
4,5,0.6213571428571428
17,39,0.6227857142857143
20,45,0.6247142857142857
9,20,0.6274285714285714
19,42,0.6301428571428571
21,45,0.6305714285714286
6,7,0.6312857142857143
14,33,0.6417857142857143
26,60,0.6490714285714285
9,20,0.6520714285714285
6,7,0.6604285714285715
22,57,0.6791428571428572
8,13,0.767
6,7,0.7699285714285714
6,7,0.7928571428571428
0,1,0.7943571428571429
8,13,0.801
6,7,0.8035
19,42,0.8128571428571428
27,60,0.8140714285714286
0,1,0.8179285714285714
6,7,0.8297142857142857
0,1,0.8367142857142857
17,39,0.8455714285714285
8,13,0.8492857142857143
0,1,0.8596428571428572
19,42,0.8621428571428571
6,7,0.8663571428571428
8,13,0.8672857142857143
21,45,0.8696428571428572
4,5,0.8714285714285714
8,13,0.8727142857142857
8,13,0.8796428571428572
6,7,0.8827857142857143
6,7,0.8879285714285714
0,1,0.8896428571428572
19,42,0.8935
6,7,0.8938571428571429
21,45,0.897
2,5,0.9057142857142857
0,1,0.9063571428571429
8,13,0.9081428571428571
6,7,0.9087857142857143
4,5,0.9106428571428572
6,7,0.9191428571428572
18,42,0.926
8,13,0.9332857142857143
6,7,0.9338571428571428
0,1,0.9431428571428572
19,42,0.9459285714285715
8,13,0.9483571428571429
6,7,0.949
8,13,0.9637857142857142
6,7,0.9667857142857142
9,20,0.9677857142857142
6,7,0.971
0,1,0.9755714285714285
8,13,0.9793571428571428
6,7,0.9798571428571429
15,38,0.9875714285714285
8,13,0.99
0,1,1.0078571428571428
8,13,1.0287857142857142
8,13,1.0318571428571428
6,7,1.0324285714285715
8,13,1.0471428571428572
8,13,1.0510714285714287
6,7,1.051642857142857
8,13,1.060857142857143
18,42,1.0654285714285714
8,13,1.0686428571428572
6,7,1.0692142857142857
6,7,1.0777857142857143
8,13,1.0847857142857142
6,7,1.103357142857143
24,60,1.1102857142857143
18,42,1.1127142857142858
0,1,1.1269285714285715
8,13,1.1284285714285713
6,7,1.129
6,7,1.1327857142857143
17,39,1.137857142857143
8,13,1.1636428571428572
6,7,1.1642142857142856
19,42,1.1715
8,13,1.1781428571428572
6,7,1.1787857142857143
6,7,1.187142857142857
9,20,1.1905714285714286
6,7,1.1936428571428572
19,42,1.2017142857142857
0,1,1.2062857142857142
6,7,1.2122857142857142
4,5,1.2141428571428572
8,13,1.2160714285714285
6,7,1.2166428571428571
8,13,1.2335714285714285
6,7,1.2341428571428572
6,7,1.247
8,13,1.2501428571428572
6,7,1.2507142857142857
8,13,1.288
6,7,1.2885714285714285
6,7,1.2929285714285714
0,1,1.2974285714285714
8,13,1.3057142857142856
6,7,1.3062857142857143
6,7,1.3127142857142857
20,45,1.3327857142857142
22,57,1.3372142857142857
8,13,1.3407857142857142
